Date,Herman (2010)
2019-06-01,0.1313
2019-06-02,0.12893
2019-06-03,0.12665
2019-06-04,0.12799
2019-06-05,0.12949
2019-06-06,0.13564
2019-06-07,0.13221
2019-06-08,0.12777
2019-06-09,0.127
2019-06-10,0.12625
2019-06-11,0.11895
2019-06-12,0.12136
2019-06-13,0.11616
2019-06-14,0.12855
2019-06-15,0.13447
2019-06-16,0.14297
2019-06-17,0.13693
2019-06-18,0.13998
2019-06-19,0.13984
2019-06-20,0.14439
2019-06-21,0.14548
2019-06-22,0.13403
2019-06-23,0.13376
2019-06-24,0.12121
2019-06-25,0.11604
2019-06-26,0.11134
2019-06-27,0.11812
2019-06-28,0.11135
2019-06-29,0.10485
2019-06-30,0.11098
2019-07-01,0.09764
2019-07-02,0.10082
2019-07-03,0.10507
2019-07-04,0.10052
2019-07-05,0.09639
2019-07-06,0.11189
2019-07-07,0.13152
2019-07-08,0.12784
2019-07-09,0.14528
2019-07-10,0.13674
2019-07-11,0.13165
2019-07-12,0.127
2019-07-13,0.13201
2019-07-14,0.12866
2019-07-15,0.12963
2019-07-16,0.13896
2019-07-17,0.13883
2019-07-18,0.12455
2019-07-19,0.12568
2019-07-20,0.12682
2019-07-21,0.12808
2019-07-22,0.11773
2019-07-23,0.11643
2019-07-24,0.12467
2019-07-25,0.11894
2019-07-26,0.11913
2019-07-27,0.12452
2019-07-28,0.13012
2019-07-29,0.12923
2019-07-30,0.15418
2019-07-31,0.15958
2019-08-01,0.14489
2019-08-02,0.12525
2019-08-03,0.14389
2019-08-04,0.17929
2019-08-05,0.18997
2019-08-06,0.20152
2019-08-07,0.19562
2019-08-08,0.19002
2019-08-09,0.15713
2019-08-10,0.17307
2019-08-11,0.18858
2019-08-12,0.1843
2019-08-13,0.18031
2019-08-14,0.19703
2019-08-15,0.19947
2019-08-16,0.21013
2019-08-17,0.19919
2019-08-18,0.19252
2019-08-19,0.19829
2019-08-20,0.21283
2019-08-21,0.20447
2019-08-22,0.19688
2019-08-23,0.23266
2019-08-24,0.2099
2019-08-25,0.24031
2019-08-26,0.25254
2019-08-27,0.23861
2019-08-28,0.23767
2019-08-29,0.23676
2019-08-30,0.20116
2019-08-31,0.21835
2019-09-01,0.26512
2019-09-02,0.2439
2019-09-03,0.22455
2019-09-04,0.23698
2019-09-05,0.25227
2019-09-06,0.27703
2019-09-07,0.30546
2019-09-08,0.26951
2019-09-09,0.24068
2019-09-10,0.24623
2019-09-11,0.29644
2019-09-12,0.29697
2019-09-13,0.31597
2019-09-14,0.33673
2019-09-15,0.34928
2019-09-16,0.3107
2019-09-17,0.32677
2019-09-18,0.34982
2019-09-19,0.33535
2019-09-20,0.31428
2019-09-21,0.33664
2019-09-22,0.33073
2019-09-23,0.32569
2019-09-24,0.30981
2019-09-25,0.33665
2019-09-26,0.37475
2019-09-27,0.37462
2019-09-28,0.38198
2019-09-29,0.37957
2019-09-30,0.37729
2019-10-01,0.40142
2019-10-02,0.39386
2019-10-03,0.39462
2019-10-04,0.38382
2019-10-05,0.40619
2019-10-06,0.3678
2019-10-07,0.37946
2019-10-08,0.38848
2019-10-09,0.39773
2019-10-10,0.41485
2019-10-11,0.43382
2019-10-12,0.44937
2019-10-13,0.44676
2019-10-14,0.45889
2019-10-15,0.45842
2019-10-16,0.45782
2019-10-17,0.40232
2019-10-18,0.49713
2019-10-19,0.50219
2019-10-20,0.45651
2019-10-21,0.45856
2019-10-22,0.43852
2019-10-23,0.42014
2019-10-24,0.44335
2019-10-25,0.46769
2019-10-26,0.48045
2019-10-27,0.49809
2019-10-28,0.4461
2019-10-29,0.47107
2019-10-30,0.49816
2019-10-31,0.50451
2019-11-01,0.51087
2019-11-02,0.52262
2019-11-03,0.51691
2019-11-04,0.48817
2019-11-05,0.49577
2019-11-06,0.48626
2019-11-07,0.50036
2019-11-08,0.5144
2019-11-09,0.51217
2019-11-10,0.50992
2019-11-11,0.54204
2019-11-12,0.57757
2019-11-13,0.59501
2019-11-14,0.60576
2019-11-15,0.61623
2019-11-16,0.5641
2019-11-17,0.51932
2019-11-18,0.51681
2019-11-19,0.52931
2019-11-20,0.54259
2019-11-21,0.62535
2019-11-22,0.59069
2019-11-23,0.60825
2019-11-24,0.62657
2019-11-25,0.60567
2019-11-26,0.58605
2019-11-27,0.53413
2019-11-28,0.5623
2019-11-29,0.58608
2019-11-30,0.57933
2019-12-01,0.57266
2019-12-02,0.55681
2019-12-03,0.54163
2019-12-04,0.52858
2019-12-05,0.53332
2019-12-06,0.5737
2019-12-07,0.56136
2019-12-08,0.54948
2019-12-09,0.55972
2019-12-10,0.57094
2019-12-11,0.56699
2019-12-12,0.56272
2019-12-13,0.59369
2019-12-14,0.62997
2019-12-15,0.54645
2019-12-16,0.54358
2019-12-17,0.54065
2019-12-18,0.57556
2019-12-19,0.61454
2019-12-20,0.56959
2019-12-21,0.54101
2019-12-22,0.53326
2019-12-23,0.6049
2019-12-24,0.60083
2019-12-25,0.61804
2019-12-26,0.63609
2019-12-27,0.6549
2019-12-28,0.67472
2019-12-29,0.70173
2019-12-30,0.68269
2019-12-31,0.64206
2020-01-01,0.6363
2020-01-02,0.63058
2020-01-03,0.6365
2020-01-04,0.64243
2020-01-05,0.65321
2020-01-06,0.57248
2020-01-07,0.59701
2020-01-08,0.60688
2020-01-09,0.62695
2020-01-10,0.64163
2020-01-11,0.65688
2020-01-12,0.64392
2020-01-13,0.63131
2020-01-14,0.63579
2020-01-15,0.61753
2020-01-16,0.60403
2020-01-17,0.60263
2020-01-18,0.60118
2020-01-19,0.61836
2020-01-20,0.63644
2020-01-21,0.61189
2020-01-22,0.61207
2020-01-23,0.61225
2020-01-24,0.60745
2020-01-25,0.60033
2020-01-26,0.57832
2020-01-27,0.55739
2020-01-28,0.57324
2020-01-29,0.58989
2020-01-30,0.52004
2020-01-31,0.54273
2020-02-01,0.56933
2020-02-02,0.58177
2020-02-03,0.5947
2020-02-04,0.60031
2020-02-05,0.60598
2020-02-06,0.56841
2020-02-07,0.61165
2020-02-08,0.59412
2020-02-09,0.58749
2020-02-10,0.53135
2020-02-11,0.53978
2020-02-12,0.54851
2020-02-13,0.54746
2020-02-14,0.54634
2020-02-15,0.54489
2020-02-16,0.57283
2020-02-17,0.58116
2020-02-18,0.57445
2020-02-19,0.56767
2020-02-20,0.53782
2020-02-21,0.51014
2020-02-22,0.49775
2020-02-23,0.46795
2020-02-24,0.479
2020-02-25,0.44718
2020-02-26,0.47068
2020-02-27,0.47097
2020-02-28,0.47125
2020-02-29,0.47405
2020-03-01,0.47681
2020-03-02,0.48497
2020-03-03,0.47917
2020-03-04,0.49085
2020-03-05,0.47077
2020-03-06,0.45172
2020-03-07,0.44807
2020-03-08,0.44436
2020-03-09,0.43472
2020-03-10,0.46541
2020-03-11,0.47678
2020-03-12,0.45017
2020-03-13,0.45916
2020-03-14,0.46486
2020-03-15,0.47078
2020-03-16,0.46438
2020-03-17,0.45799
2020-03-18,0.40929
2020-03-19,0.39703
2020-03-20,0.39867
2020-03-21,0.40228
2020-03-22,0.4067
2020-03-23,0.4059
2020-03-24,0.40514
2020-03-25,0.38164
2020-03-26,0.36609
2020-03-27,0.38254
2020-03-28,0.36384
2020-03-29,0.38422
2020-03-30,0.38639
2020-03-31,0.38863
2020-04-01,0.37789
2020-04-02,0.36745
2020-04-03,0.36936
2020-04-04,0.36875
2020-04-05,0.35037
2020-04-06,0.34127
2020-04-07,0.33234
2020-04-08,0.31052
2020-04-09,0.2905
2020-04-10,0.3013
2020-04-11,0.31016
2020-04-12,0.29013
2020-04-13,0.23818
2020-04-14,0.25246
2020-04-15,0.2536
2020-04-16,0.2549
2020-04-17,0.25957
2020-04-18,0.26452
2020-04-19,0.25325
2020-04-20,0.25595
2020-04-21,0.26026
2020-04-22,0.25799
2020-04-23,0.25565
2020-04-24,0.25471
2020-04-25,0.25371
2020-04-26,0.21687
2020-04-27,0.23919
2020-04-28,0.21985
2020-04-29,0.23248
2020-04-30,0.22865
2020-05-01,0.22996
2020-05-02,0.23143
2020-05-03,0.2121
2020-05-04,0.19488
2020-05-05,0.19342
2020-05-06,0.17549
2020-05-07,0.17571
2020-05-08,0.18457
2020-05-09,0.19458
2020-05-10,0.17919
2020-05-11,0.16543
2020-05-12,0.15539
2020-05-13,0.16137
2020-05-14,0.16609
2020-05-15,0.16935
2020-05-16,0.17532
2020-05-17,0.18201
2020-05-18,0.18944
2020-05-19,0.17703
2020-05-20,0.16561
2020-05-21,0.14894
2020-05-22,0.1341
2020-05-23,0.15246
2020-05-24,0.15761
2020-05-25,0.16317
2020-05-26,0.15936
2020-05-27,0.15565
2020-05-28,0.14416
2020-05-29,0.14296
2020-05-30,0.14511
2020-05-31,0.1136
